id,question,route_type,gold_manual,product_or_policy,intent_type,image_need,teacher_image_ids,image_prefixes,inference_source,confidence,retrieval_strategy,image_strategy,teacher_answer
16,"""我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，商品有轻微划痕但不影响使用，也可以先联系我们申请售后。请提供划痕照片、订单号和收货时间，我们会判断是否属于运输、仓储或质量问题；符合换货条件的可安排换货，如不符合也会提供维修、补偿或其他处理建议。"""
17,"""我想换货，但是原来的商品包装盒丢了，还能换吗？"",
""需要我额外支付包装费吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，换货通常需要保持商品、配件、赠品和包装完整，以便二次销售和运输保护。包装盒丢失时仍可提交申请，但是否能换货需结合商品品类、使用情况和包装缺失程度判断；若需要额外包装材料或影响二次销售，可能产生相应费用，具体以客服核实结果为准。"""
18,"""我想退货，但是已经超过7天无理由退换货期限了，还能退吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，超过7天无理由期限后，一般不能按无理由退货办理。但若商品存在质量问题、错发、漏发或与描述明显不符，仍可按售后保障申请检测、维修、换货或退货。请提供订单号和问题凭证，我们会协助核实。"""
19,"""请问你们的商品能提供纸质版说明书吗？"",
""电子版在哪里可以找到？""",policy_service,none_policy,通用售后政策,manual_request,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，部分商品可提供纸质版说明书，具体以商品包装内实际配置为准。电子版说明书通常可在商品详情页、订单售后页面或联系客服获取；您也可以提供商品型号，我们帮您查询对应电子版资料。"""
20,"""请问你们家的商品能寄到国外吗？"",
""运费怎么算？大概需要多久能到？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，是否能寄到国外需要根据商品品类、重量体积、目的国家/地区以及可用物流渠道确认，不是所有商品都支持海外配送。运费会按实际国际物流报价、包裹重量体积和清关要求计算，下单页或客服确认的报价为准；时效也会因国家地区、物流线路和清关速度不同而变化，建议您提供收货国家和商品链接后再确认可寄性、费用和预计到达时间。"""
21,"""我购买的商品，想开发票抬头为公司，需要注意什么？"",
""抬头写错了，能重新开具吗？""",policy_service,none_policy,通用售后政策,invoice,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，公司发票请准确填写公司抬头、纳税人识别号、注册地址、电话、开户行及账号等信息，具体以开票要求为准。若抬头写错，请尽快联系客服；未入账或符合重开条件的，可协助作废或红冲后重新开具。"""
22,"""我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？"",
""换货还是只能维修？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，商品使用后发现瑕疵仍可以申请售后。我们会根据瑕疵性质、使用情况和检测结果判断处理方式；若属于质量问题，通常可安排维修、换货或退货，具体以商品状态和售后规则为准。"""
23,"""我想取消订单，但是订单已经付款了，能全额退款吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，订单已付款但尚未发货时通常可申请取消并全额退款；若已经发货，需要拦截或拒收后再按流程退款。是否能全额退款取决于商品状态、物流状态及是否产生不可退费用。"""
24,"""请问你们的商品有售后保障卡吗？"",
""卡丢了，还能享受售后服务吗？""",policy_service,none_policy,通用售后政策,policy_general,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，部分商品会随附售后保障卡或保修凭证，但售后服务一般也可凭订单记录、发票、序列号等核验。保障卡丢失不一定影响售后，请提供订单号和商品信息，我们会帮您查询保修资格。"""
25,"""请问你们家支持以旧换新服务吗？""",policy_service,none_policy,通用售后政策,promotion_service,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，目前是否支持以旧换新需以商品页面活动和客服查询结果为准。不同品类、型号、地区和活动期规则可能不同，请提供您想购买的商品及旧机信息，我们可协助确认是否可参与。"""
26,"""请问你们的智能客服能解答哪些问题？"",
""智能客服解答不了的问题，怎么办？""",policy_service,none_policy,通用售后政策,customer_service,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，智能客服可以解答订单查询、物流进度、退换货规则、发票、售后申请、商品基础信息等常见问题。若智能客服无法解决，会转接人工客服或登记工单，由专员继续处理。"""
33,"""家支持7天无理由退货吗？"",
""需要满足什么条件？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，支持7天无理由退货。通常需要在签收后7天内申请，商品保持完好、配件赠品齐全、包装尽量完整且不影响二次销售。定制、已拆封影响安全卫生、易耗或特殊品类可能不适用，具体以商品页面和售后规则为准。"""
34,"""我购买的商品，收到后发现少发了一件，怎么办？"",
""什么时候能补寄？需要我承担运费吗？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若收到后发现少发，请提供订单号、开箱照片/视频、外包装和缺少的商品信息。我们核实仓库发货记录后会尽快补寄，因漏发产生的补寄运费由我们承担，具体补寄时效以仓库和物流为准。"""
35,"""想换成其他款式，能换货吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，如商品支持换货且库存充足，可以申请更换其他款式。若新旧款式存在差价，需要按多退少补处理；若商品已使用、影响二次销售或不符合换货条件，可能无法直接换款。"""
36,"""请问商品的生产日期是什么时候？""",policy_service,none_policy,通用售后政策,quality_expiry,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，商品生产日期需要以实物包装、铭牌、合格证或批次标签为准。请提供商品型号或拍摄包装标签给客服，我们可以帮您查看并核实。"""
37,"""请问你们的商品能提供上门安装服务吗？""",policy_service,none_policy,通用售后政策,service_installation,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，是否支持上门安装取决于商品品类、地区和服务覆盖范围。大家电、大型设备等可能支持预约安装；小件商品通常不提供上门安装。请提供商品型号和收货地址，我们帮您确认。"""
38,"""请问你们的商品能提供试用装吗？""",policy_service,none_policy,通用售后政策,promotion_service,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，目前是否提供试用装需以具体商品和活动页面为准。并非所有商品都有试用装，建议您提供商品名称或链接，我们为您查询是否有试用、体验装或样品活动。"""
39,"""我购买的商品，使用一段时间后出现质量问题，还能售后吗？""",policy_service,none_policy,通用售后政策,after_sales_issue,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，使用一段时间后出现质量问题仍可申请售后。若在保修期内且非人为损坏，我们会按政策提供维修、换货或其他保障；若超出保修或人为原因，也可协助检测并报价维修。"""
40,"""我想给商品更换成更大的尺寸，能换吗？"",
""尺寸差价怎么处理？""",policy_service,none_policy,通用售后政策,policy_general,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若商品支持尺码换货且库存充足，可以申请更换更大尺寸。若不同尺寸存在价格差异，通常按多退少补处理；请保持商品和配件完好，并提交订单号与目标尺寸。"""
41,"""快递丢失了，怎么办？""，
""这种情况你们会怎么赔偿？多久能解决？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若快递丢失，请提供订单号和物流信息，我们会联系物流核查。确认丢件后会根据情况安排补发或退款，因物流丢失产生的损失由责任方承担。处理时效取决于物流核查进度，我们会持续跟进。"""
42,"""我购买的商品，想申请退款，但是已经使用过了，能退吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，商品已使用后是否能退款需看原因。若是无理由退货，使用后影响二次销售通常无法退；若是质量问题、描述不符或错发，可提交凭证申请售后，我们会根据检测结果处理。"""
43,"""我购买的商品，快递送达时，我不在家，怎么办？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，快递送达时不在家，可联系快递员改约派送、放至驿站/快递柜或按物流规则重新派送。建议及时关注物流信息，避免超期退回。"""
44,"""请问你们的优惠券能用于所有商品吗？""",policy_service,none_policy,通用售后政策,promotion_service,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，优惠券是否适用于所有商品需以券面规则为准。部分优惠券会限制品类、商品、店铺、金额门槛、有效期或不可与其他活动叠加使用。"""
45,"""请问你们的商品能提供终身维修服务吗？""",policy_service,none_policy,通用售后政策,after_sales_repair,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，商品一般不提供无限制的终身免费维修。部分商品可在保修期内享受免费维修，保修期外或人为损坏可提供有偿维修，具体以商品保修政策为准。"""
46,"""我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，建议先保留维修单、订单、故障凭证和翻新机证据，并要求客服升级处理。若商品在质保期内非人为故障，应按保修政策免费维修或换货；若确认并非全新商品或存在欺诈/描述不符，可申请退货退款并要求平台介入核实赔偿。维修15天未完成的，可要求明确维修时效、提供备用方案或转为换新/退款。"""
47,"""我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？"",",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，企业批量采购建议按问题分类提交工单：1）20件质量问题商品提供故障照片/视频、序列号和数量清单，申请换货或维修；2）15件少发提供装箱、外箱、签收和缺件清单，核实后补寄且运费由责任方承担；3）发票抬头错误提供正确开票信息，申请作废/红冲后重开。建议汇总成一份明细表并附订单号，便于专员一次性处理。"""
48,"""我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，请立即停止食用并保留商品、包装、生产日期、破损和受潮照片。若食品临期、包装破损或受潮影响食用，可申请退货退款并升级投诉；如已食用后身体不适，请及时就医并保留诊疗凭证，我们会协助核实并按平台及法律规定处理赔付和保障。"""
49,"""我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，已签收后仍可申请售后。请尽快拍照保留外包装、面单、商品损坏细节和签收时间，并提供快递员拒绝承认的相关信息。我们会联系物流核查运输责任，同时根据商品损坏情况为您安排换货、补发、维修或退款。"""
50,"""我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？""",policy_service,none_policy,通用售后政策,after_sales_issue,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，请先保留安装人员收费说明、收费凭证、安装前后照片和损坏证据，并暂停继续使用。若页面承诺免费安装而被额外收费，可要求核实并退回不合理费用；若安装操作不规范导致损坏，应由安装服务方承担相应维修或换货责任，我们会协助升级安装投诉。"""
51,"""我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时维修时间已经超过承诺的7天，请问该怎么处理？"",",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，质保期内非人为质量问题原则上应免费维修，配件费是否收取需以检测结果和保修条款为准。若维修方要求收费，请要求提供检测报告和收费依据；如已超出承诺7天，可联系客服升级催修，并申请免配件费、换新、退款或补偿方案。"""
52,"""我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心设备拉回过程中出现损坏，请问该怎么处理？""",policy_service,none_policy,通用售后政策,after_sales_repair,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，大型设备无法现场修复需拉回维修时，应先由检修人员出具故障说明、运输交接单和预计时效，并对设备外观拍照确认。运输和仓储过程中的损坏应由责任方承担。您可以要求明确维修周期、物流保险/包装方案和进度反馈，再确认是否拉回。"""
53,"""我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？""",policy_service,none_policy,通用售后政策,promotion_service,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，试用期间非人为故障可以申请售后检测，确认质量问题后可更换、维修或退款，具体按试用规则执行。试用期限是否能延长需看活动规则和客服审批，建议提供故障发生时间、照片/视频和试用订单信息申请。"""
54,"""我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退款并赔偿，请问可以吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若页面未标注临期且商品仅剩15天保质期，可先停止使用并保留生产日期、保质期、页面截图和订单凭证。我们会核实商品状态和页面说明，如确认未充分提示或不符合售卖要求，可为您办理退货退款并升级赔付处理。"""
55,"""我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请换货""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，实物颜色与详情页描述明显不一致且伴有异味，可以申请售后。请提供详情页截图、实物照片、异味情况说明和订单号，我们会核实是否属于描述不符或质量异常，符合条件可安排换货或退货。"""
57,"""我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，快递员离开后发现商品损坏仍可申请售后。请尽快拍摄外包装、面单、内部缓冲材料、商品损坏位置以及开箱过程凭证，并联系在线客服登记。我们会核实物流和商品情况，符合条件会安排换货、补发、维修或退款。"""
58,"""我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"",",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若商品实际功能与详情页描述不一致，例如不支持宣传的无线充电、续航明显不符，属于描述不符或质量争议。请提供页面截图、实测视频、订单号和商品信息，我们会核实后为您办理退货退款；赔偿需根据平台规则、责任认定和实际损失处理。"""
64,"""使用吹风机时，人员需要佩戴哪些防护装备？""",manual_qa,Manual04,吹风机 / Blower,indicator_light,yes_teacher,Manual04_3,Manual04,teacher_image_manual,high,锁定 Manual04；检索 indicator_light 章节；图片只从证据 chunk 附近选择,以 teacher_image_ids 作为A榜弱标签；B榜只允许同 manual、同章节附近图片,"""个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。 <PIC>
人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机"", [""Manual04_3""]"
65,"""操作吹风机时，人员需要注意哪些安全要点？""",manual_qa,Manual04,吹风机 / Blower,troubleshooting,yes_teacher,"Manual04_32, Manual04_33, Manual04_34, Manual04_35",Manual04,teacher_image_manual,high,锁定 Manual04；检索 troubleshooting 章节；图片只从证据 chunk 附近选择,以 teacher_image_ids 作为A榜弱标签；B榜只允许同 manual、同章节附近图片,"""吹扫作业 开始吹扫前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，需通过肩带固定设备，按图示将肩带挎在肩上。 <PIC> <PIC> 警告！ 严禁将吹风机喷口对准人或动物。高速气流可能夹带颗粒物，尤其吹风机曾用于吸尘作业时，易造成严重伤害。 操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 警告！检修盖未关闭、损坏或无法闭合时，严禁启动吹风机（安装吸尘管时除外）。 警告！站在梯子或支架上时严禁操作吹风机。 按第 13 页说明启动吹风机，按以下要求作业： 1. 严禁向墙壁、巨石、车辆、围栏等固定物体吹扫。 2. 角落作业时，从角落向作业区域中心吹扫，否则杂物会飞溅至面部造成眼部伤害。 3. 严禁将吹风机喷口对准娇嫩植物。
人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机
吹风机操作安全 1. 禁止无关人员及动物进入作业区域，即距操作人员 10 米范围内。 2. 吹风机可能高速喷射物体，物体反弹后可能击中操作人员，易造成严重眼部损伤。 3. 严禁将吹风机喷口对准人或动物。 4. 安装或拆卸配件及其他部件前必须先关闭发动机。 5. 任何防护装置缺失时严禁操作吹风机。 6. 严禁在通风不良的空间操作吹风机，避免吸入废气。 7. 加油前必须关闭发动机。 8. 吹风机运行中、停机后及怠速状态下，催化消音器均异常滚烫。注意火灾危险，尤其在易燃材料附近或存在易燃气体环境中操作时。 9. 操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 10. 站在梯子或支架上时严禁操作吹风机。
其他安全措施 1. 仅在合理时段操作吹风机，即避免在清晨或深夜扰民时段使用，遵守当地法规规定时段。通常建议周一至周六上午 9:00 至下午 5:00 使用。 2. 以完成作业所需的最低油门档位操作吹风机。 3. 操作前检查吹风机状态，重点检查消音器、进气口及空气滤清器。 4. 吹扫前先用耙子或扫帚松动地面杂物。 5. 多尘环境下，若有水可用软管轻微喷洒作业区域或使用喷雾附件。 6. 草坪园艺作业中（如屋顶排水沟、纱窗、露台、花园等区域），优先使用吹风机而非软管以节约用水。 7. 留意儿童、宠物、敞开的窗户及刚清洗的车辆，安全吹扫杂物。 8. 使用全长喷管延伸件，使气流贴近地面作业。 9. 使用吹风机后，清理杂物并投入垃圾桶。"", [""Manual04_32"", ""Manual04_33"", ""Manual04_34"", ""Manual04_35""]"
66,"""使用吹风机时，如何调节化油器？""",manual_qa,Manual04,吹风机 / Blower,troubleshooting,yes_teacher,"Manual04_17, Manual04_42",Manual04,teacher_image_manual,high,锁定 Manual04；检索 troubleshooting 章节；图片只从证据 chunk 附近选择,以 teacher_image_ids 作为A榜弱标签；B榜只允许同 manual、同章节附近图片,"""化油器调节（19） 化油器设有三颗调节螺钉： 低速油针 高速油针 怠速调节螺钉 化油器调节需适配当地作业条件，如气候、海拔、汽油及二冲程发动机机油类型。 化油器调节详情见第 18 页。 <PIC>
燃油混合
基础（出厂）设置 吹风机出厂测试时化油器已预设基础参数： H 油针逆时针旋至限位终点。 L 油针逆时针旋至限位终点。 推荐怠速转速为 3000 转 / 分钟。
化油器 化油器出厂时已精密预设，因气候、海拔、汽油及二冲程机油类型差异可能需要额外调节。以下说明介绍化油器调节方法。 化油器通过油门控制发动机转速，实现空气与燃油混合，空燃比可调。正确设置才能发挥吹风机最大输出功率。 化油器设有三处调节装置： H= 高速油针 L= 低速油针 T= 怠速调节螺钉 <PIC>
低速油针 L 1. 检查吹风管（15）与喷口（14）已安装到位。 2. 将 H、L 调节螺钉逆时针旋至限位终点。 3. 按第 13 页启动吹风机发动机，怠速与半油门交替运转 1-2 分钟预热。若发动机无法怠速运转，顺时针旋动 T 螺钉直至正常怠速。 4. 调节 T 螺钉，使发动机精准维持怠速，转速不偏高。 5. 微调 L 螺钉，使发动机达到最大怠速转速，然后将 L 螺钉逆时针旋出最多 1/4 圈。 6. 必要时旋动 T 螺钉提升发动机转速。 注意！调节 H 油针时，全油门持续时间最长 10 秒，之后需怠速运转至少 10 秒。
化油器 化油器出厂时已精密预设，因气候、海拔、汽油及二冲程机油类型差异可能需要额外调节。以下说明介绍化油器调节方法。 化油器通过油门控制发动机转速，实现空气与燃油混合，空燃比可调。正确设置才能发挥吹风机最大输出功率。 化油器设有三处调节装置： H= 高速油针 L= 低速油针 T= 怠速调节螺钉 <PIC>"", [""Manual04_17"", ""Manual04_42""]"
