id,question,category,source_manual,knowledge_point,novelty_reason,max_similarity_to_existing,risk_note,closest_existing_question
2132,How can I set the coffee machine water hardness level and why does it matter?,en_manual,Coffee machine manual,water hardness setting,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.557,OK,How do I turn on and use the coffee machine energy saving mode?
2133,How should the milk frother or steam nozzle be cleaned after preparing milk drinks?,en_manual,Coffee machine manual,milk frother cleaning,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.458,OK,"""How do I use the jet wash function to clean the boat after using it?"""
2135,How should I clean and dry the earphone charging contacts before placing them in the case?,en_manual,Earphones manual,charging contact care,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.511,OK,"""What is the proper procedure for cleaning the sensors and charging contacts on a vacuum cleaner?"""
2137,How should I choose and install ear tips so the earphones fit securely and sound correct?,en_manual,Earphones manual,ear tip selection,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.464,OK,"""How should I clean my coffee maker after I use it so that it can last longer?"""
2141,"How can I delete an unwanted eBook, audio file, or photo from the eReader?",en_manual,eReader manual,file deletion,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.476,OK,"""How can you update the BIOS file of a motherboard?"""
2144,"How should I connect the eReader to a computer to copy eBooks, music, photos, or videos?",en_manual,eReader manual,eReader file transfer,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.523,OK,How should I connect the base station for the landline phone?
2147,How should I replace the fax machine toner or print cartridge without spilling toner?,en_manual,Fax manual,toner or cartridge replacement,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.527,OK,How do I turn on and use the coffee machine energy saving mode?
2148,How should I load original documents into the fax machine document feeder to avoid jams or skewed pages?,en_manual,Fax manual,document feeder loading,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.512,OK,How should I keep my fingers safe around the fax machine mechanisms?
2149,"How should I inspect burner flames on the grill, and what might yellow or irregular flames indicate?",en_manual,Grill manual,burner flame check,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.47,OK,"""How should fire extinguishers be stored on board and where should they be placed?"""
2153,How should the grill be cleaned and prepared before long-term storage?,en_manual,Grill manual,grill cleaning before storage,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.511,OK,"""How do you mount the lens of a camera when preparing for photography?"""
2158,How should I rinse or flush the jetski after use in salt water?,en_manual,Jetski manual,post-operation rinse,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.521,OK,"""How should I clean my coffee maker after I use it so that it can last longer?"""
2162,How do I register a landline handset to the base station if it is not connected?,en_manual,Landline manual,handset registration,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.511,OK,How should I connect the base station for the landline phone?
2163,How can I adjust the landline handset ringer volume or melody for incoming calls?,en_manual,Landline manual,ringer settings,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.476,OK,"""How can you adjust the height of cut for a lawn mower with an electric deck lift?"""
2164,How can I add or edit a contact in the landline handset phonebook?,en_manual,Landline manual,phonebook entry,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.557,OK,How can I check the battery level on the landline phone?
2172,How can I operate the microwave vent fan and adjust fan speed while cooking on the cooktop?,en_manual,Microwave manual,vent fan controls,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.542,OK,"""How to open the livewell and add water on the boat?"""
2173,How can I turn the microwave child lock or control lock on and off?,en_manual,Microwave manual,child lock,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.496,OK,How can I power the camera from a household electrical outlet?
2174,How can I turn the microwave turntable function on or off when using oversized dishes?,en_manual,Microwave manual,turntable setting,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.5,OK,"""How do I use the jet wash function to clean the boat after using it?"""
2176,"Where should I connect the CPU fan cable on the motherboard, and why is that header important?",en_manual,Motherboard manual,CPU fan header,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.477,OK,How should I connect the base station for the landline phone?
2179,How should I connect front-panel USB cables to the correct motherboard headers?,en_manual,Motherboard manual,USB front panel headers,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.504,OK,"""How can you secure the motherboard to the chassis?"""
2182,What should I check about liquid amount before starting a pressure-cooking program?,en_manual,Pressure cooker air fryer manual,minimum liquid before pressure cooking,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.523,OK,"""What do you know about anti-block shield for a multi-use pressure cooker and air fryer?"""
2184,How should I use or cancel the Keep Warm function after pressure cooking?,en_manual,Pressure cooker air fryer manual,keep warm function,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.559,OK,"""How do I use the jet wash function to clean the boat after using it?"""
2185,How can I set a delayed start program on the multi-use pressure cooker?,en_manual,Pressure cooker air fryer manual,delay start program,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.631,OK,"""How can you set quick release for a multi-use pressure cooker and air fryer?"""
2190,How can I set or change a robot vacuum cleaning schedule for automatic cleaning?,en_manual,Robot vacuum manual,cleaning schedule,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.486,OK,"""How can you set silicone cap and float valve for a multi-use pressure cooker and air fryer?"""
2193,How should I test or use the snowmobile emergency stop switch before riding?,en_manual,Snowmobile manual,emergency stop switch,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.526,OK,"""How do I use the battery conversion feature before sailing?"""
2195,"How should I clean and dry a snowmobile after riding in wet, salty, or dirty conditions?",en_manual,Snowmobile manual,post-ride cleaning,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.443,OK,"""How should I clean my coffee maker after I use it so that it can last longer?"""
