id,ret
14,您好，非常抱歉。商品被拆封、带污渍且疑似二手，请先不要继续使用，保留包装、封签、污渍位置照片和订单信息。我们会核查仓库和物流记录，确认异常后支持退货退款、换货，并升级投诉处理。
15,您好，非常抱歉给您造成困扰！我们销售的商品应保证正品。如果您验证后怀疑是假货，请提供防伪验证截图、序列号、商品包装照片和订单号，我们会优先核实商品来源；确认非正品的，支持退货退款，并会按售后投诉流程为您进一步处理。
16,您好，可以申请售后。请提供划痕照片、订单号和收货时间，我们会判断划痕是否由运输、仓储或质量问题导致。若符合换货条件，可安排换货；若属于使用产生或不影响售后的轻微瑕疵，也会提供维修、补偿等方案。
17,您好，包装盒丢失仍可以提交换货申请，但是否支持要看商品是否影响二次销售。若是质量问题，不会因为包装盒丢失就直接拒绝售后；若是非质量换货，可能因包装缺失影响审核。一般不单独收包装费，特殊包装材料费用以客服核实为准。
18,您好，超过7天后一般不能按无理由退货处理。但如果商品存在质量问题、错发、漏发或与详情页描述明显不符，仍可申请售后检测，并按情况办理维修、换货或退货退款。请提供订单号和问题凭证，我们帮您核实。
19,您好，部分商品包装内会提供纸质说明书，具体以商品实际配置为准。电子版说明书一般可在商品详情页、订单售后页面查看，也可以把商品型号发给客服，我们会帮您查询并发送对应电子版资料。
20,您好，是否能寄到国外要看商品品类、重量体积、目的国家/地区和物流渠道，不是所有商品都支持海外配送。运费按国际物流报价和包裹重量体积计算；时效通常比国内更长，可能需要7-20天，具体以目的地和清关情况为准。
21,您好，公司发票请准确填写公司名称、纳税人识别号等开票信息，专票还需按要求提供地址电话、开户行及账号。抬头写错后请尽快联系客服；未入账或符合重开条件的，可作废或红冲后重新开具。
22,您好，商品已使用但发现瑕疵，仍可以申请售后。若瑕疵属于质量问题、运输损伤或到货异常，可按情况换货、维修或退货；若只是使用后产生且不影响质量保障，通常不能按无理由退货处理，具体以检测结果为准。
23,您好，已付款订单如果还未发货，一般可以取消并全额退款；如果已经发货，需要拦截成功、拒收或退回入库后再退款。非商家原因产生的退回运费可能由买家承担，具体以订单状态和物流处理结果为准。
24,您好，部分商品会随箱提供售后保障卡，具体以商品包装为准。保障卡丢失也可以享受售后服务，您提供订单号、购买记录、商品序列号或发票等凭证，我们即可帮您核实保修资格。
25,您好，部分商品或活动支持以旧换新，具体要看商品品类、所在地区、旧机状态和活动规则。您可以提供旧商品型号、购买时间、外观/功能情况和收货地址，我们帮您查询是否支持以及预估抵扣金额。
26,您好，智能客服可以解答订单查询、物流进度、退换货、维修售后、发票、优惠券、说明书等常见问题。若智能客服无法解决，您可以输入“转人工”或提交订单问题，我们会安排人工客服继续处理。
33,您好，支持7天无理由退货。需要满足商品完好、不影响二次销售，配件、赠品、包装和购买凭证尽量完整。非质量问题退货运费由买家承担；质量问题、错发、漏发或运输破损由我们承担相应运费。
34,您好，收到后发现少发，请先拍摄外包装、面单、开箱照片/视频和实收商品清单，并联系客服登记。我们会核查仓库打包和出库记录；确认少发后会尽快补寄，补寄运费由我们承担，一般补发后按正常物流时效送达。
35,您好，想换成其他款式可以申请换货，但需商品完好、不影响二次销售，且目标款式有库存。若新旧款存在差价，按多退少补处理；非质量原因换货产生的来回运费通常由买家承担。
36,您好，商品生产日期以实物包装、标签或瓶身/机身批次信息为准。您也可以把商品型号、批次号和订单号发给客服，我们帮您查询。我们会确保发出的商品符合正常售卖和保质期要求。
37,您好，部分大家电或大型设备支持上门安装，具体要看商品品类、收货地址和服务覆盖范围。基础安装如页面承诺免费，一般不额外收费；特殊配件、打孔、加长管线等可能产生费用，安装前会提前说明。
38,您好，部分商品或活动会提供试用装，具体以商品详情页、活动页面和库存为准。您可以提供想试用的商品名称和收货信息，我们帮您查询是否有试用装；若有，可按活动规则申请领取。
39,您好，商品使用一段时间后出现质量问题，只要仍在质保期内且非人为原因，可以申请售后。我们会根据检测结果安排免费维修、换货或其他保修处理；若超出质保期或属于人为损坏，也可协助付费维修。
40,您好，可以申请更换更大尺寸，但需商品完好、不影响二次销售，并且目标尺寸有库存。尺寸差价按多退少补处理；非质量原因换尺码产生的寄回和重寄运费通常由买家承担。
41,您好，快递丢失请先不要重新下单，及时联系客服提供订单号和物流单号。我们会联系快递核实，确认丢件后可为您安排补发或退款；赔偿由我们和物流方按责任处理，一般会在24-72小时内给出进度反馈。
42,您好，商品已经使用过，若只是个人原因不想要，一般不能按7天无理由退货处理。若商品存在质量问题、描述不符或到货异常，仍可申请售后检测，并根据结果办理维修、换货或退货退款。
43,您好，快递送达时您不在家，可以联系快递员改约派送时间、放到驿站/代收点或申请自提。若多次派送失败导致包裹退回，请联系客服，我们会根据订单情况安排重新发货或退款。
44,您好，优惠券是否适用于所有商品，要看券面规则。请重点查看适用品类、使用门槛、有效期、是否可叠加以及不适用商品。部分特价、秒杀、预售、跨境或指定商品可能无法使用优惠券。
45,您好，是否支持终身维修要看商品品类和售后政策。质保期内非人为故障一般免费维修；超过质保期后，部分商品可提供长期或终身有偿维修，但配件费、人工费和运费需按实际报价确认。
46,您好，非常抱歉给您带来这么多问题！家电使用不到一个月就故障、维修15天仍未完成，并且您怀疑收到的是翻新机，这种情况建议立即升级售后专员处理。请您提供订单号、维修单、故障视频和翻新机相关证据；若核实商品并非全新或存在描述不符，支持为您办理退货退款，并进一步处理赔偿诉求。
47,您好，建议按企业采购售后工单统一处理：1）20件质量问题列明型号、序列号和故障照片/视频，申请换货；2）15件少发提供装箱清单、外箱和缺件明细，核实后补寄，运费由我们承担；3）发票抬头错误提供正确信息，作废或红冲后重开。
48,您好，非常抱歉！食品类商品出现临近过期、包装破损、受潮无法食用的情况，请您立即停止食用并保留商品、外包装、生产日期、破损和受潮照片。若页面未提示临期且商品受潮影响食用，支持退货退款并升级赔付处理；如食用后身体不适，请及时就医并保留诊疗凭证，我们会协助核实相关保障。
49,您好，已经签收也可以申请售后。请尽快拍摄外包装、面单、缓冲材料和商品损坏细节，并保留与快递员沟通记录。快递员是否承认不影响您提交售后，我们会联系物流核实，确认问题后安排换货、维修、补发或退款。
50,您好，请先保留安装预约记录、免费安装说明、收费凭证、安装前后照片和损坏证据。若页面承诺免费安装却被额外收费，可申请退还不合理费用；若因安装人员操作不规范导致损坏，应由服务方承担免费维修、换货或补偿。
51,您好，非常抱歉给您带来困扰！质保期内因商品本身质量问题维修，一般应免费处理，不应额外收取配件费。请您提供维修单号、检测结论和收费明细，我们会立即核实；若确认为非人为质量故障，会为您申请免除配件费并加急维修。维修超过承诺的7天，也可以申请延长维修质保、换新或进一步售后处理。
52,您好，设备需拉回仓库维修前，请要求检修人员出具故障说明、维修交接单、外观照片、配件清单和预计时效。拉回运输时应做好包装和责任确认；若运输或仓储过程中产生新损坏，由责任方承担。您也可以要求定期反馈维修进度。
53,您好，试用期间出现非人为故障，可以申请售后检测。确认质量问题后，一般可更换试用品、重新寄送或按试用规则处理退款/维修。若故障影响正常试用，也可以申请顺延试用期限，具体以活动规则和客服审核为准。
54,您好，如果下单页面没有标注临期，商品包装上也没有临期提示，而您收到的商品只剩15天过期，可以申请退货退款。请您保留商品生产日期、保质期、页面截图、订单信息和包装照片，我们会核实售卖说明；确认未充分提示或不符合正常售卖要求的，会为您办理退货退款并进一步处理赔偿诉求。
55,您好，实物颜色与详情页深红色描述明显不一致，且商品有异味，可以申请售后换货。请提供详情页截图、实物照片、异味说明和订单号；确认发错款、描述不符或质量异常后，可安排换货，没有库存时可退货退款。
57,您好，快递员离开后发现商品损坏，仍可以申请售后。请尽快拍摄外包装、面单、缓冲材料、商品损坏位置和开箱照片/视频，并保留包装不要丢弃。我们会核实物流和商品情况，符合条件会安排换货、补发、维修或退款。
58,您好，可以申请退货退款并投诉处理。商品详情页写明支持无线充电，但实际不支持，且续航明显低于描述，属于功能不符或描述不符。请您提供详情页截图、无线充电测试视频、续航测试记录和订单号，我们核实后会为您办理退货退款，并根据责任情况进一步处理赔偿诉求。
64,"使用吹风机时，人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。<PIC> 同时还需遵守以下人身安全要求： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机, [""Manual04_3""]"
65,"操作吹风机时，人员应先佩戴合格的防护装备，并确认防护装置齐全有效。<PIC> 作业时禁止无关人员和动物进入10米作业区域，严禁将喷口对准人或动物；不要在通风不良空间使用，避免吸入废气。<PIC> 使用中还要注意消音器和排气区域高温，避免身体接触排气口，站在梯子或支架上时不得操作；安装或拆卸配件前必须关闭发动机，加油前也要停机。<PIC>, [""Manual04_3"", ""Blower_01"", ""Blower_02""]"
66,"调节吹风机化油器时，先确认吹风管和喷口已安装，H、L 调节螺钉按基础设置旋至限位位置，并启动发动机预热。化油器有三颗调节螺钉：H 为高速油针，L 为低速油针，T 为怠速调节螺钉。<PIC> 调节低速油针 L 时，使发动机达到最高怠速转速后，再将 L 螺钉逆时针旋出最多 1/4 圈，并用 T 螺钉调整至稳定怠速；调节高速油针 H 时，全油门运行并调至最高转速后，再逆时针约 1/8 圈，注意全油门连续时间最长 10 秒，之后需怠速至少 10 秒。, [""Manual04_42""]"
67,"冷机启动吹风机时，先将停机开关调到“启动”位置，再将阻风门控制器调到阻风门位置 A，该位置同时也是自动启动油门位置；然后反复按压泵油膜片，直到燃油充满膜片即可，不需要完全充满。<PIC> 随后左手将机身按压在地面，右手握紧启动手柄，先缓慢拉到有阻力，再快速有力拉动。发动机点火后立即按下阻风门控制器，并重复拉动直到发动机启动；启动后迅速全开油门，启动油门会自动解除。<PIC> 注意不要完全拉出启动绳，也不要在启动绳完全拉出时松手。<PIC>, [""Manual04_25"", ""Manual04_28"", ""Manual04_26""]"
68,"热机启动吹风机时，先将停机开关调到“启动”位置；阻风门不要保持在冷机启动位置，而是先把阻风门控制器调到阻风门位置，再转回原位 B，这样只启用启动油门、不使用阻风门。然后按压泵油膜片，直到燃油充满膜片即可。<PIC> 接着左手固定机身，右手拉动启动手柄：先缓慢拉到有阻力，再快速有力拉动，直到发动机启动。启动后迅速全开油门，启动油门会自动解除。<PIC> 注意不要完全拉出启动绳，也不要在启动绳完全拉出时松手。<PIC>, [""Manual04_27"", ""Manual04_28"", ""Manual04_26""]"
69,"关闭吹风机时，请通过停机开关切断点火电源，使发动机停止运行。确认发动机完全停机、叶轮停止转动后，再放下设备或进行检查维护。<PIC>, [""Manual04_29""]"
70,"空调的重要组成部件包括室内机和室外机两部分。室内机通常包括前面板、空气滤网、3M多重防护滤网、等离子滤网、进风口、出风口、导风板和信号接收器等，具体功能会因机型不同而有所调整。<PIC> 室外机通常包括进风口、出风口、制冷剂管、排水管、连接线和底座板等，具体结构也可能因机型不同而调整。<PIC>, [""Manual01_0"", ""Manual01_1""]"
71,"空调无线遥控器的主要按键位于遥控器正面，部分附加功能按键位于遥控器盖板下方，打开盖板即可查看。使用遥控器时，请将遥控器对准空调底部的信号接收器；部分功能可能因机型不同而不支持。<PIC>, [""air_conditioner_01""]"
72,"给空调遥控器安装电池时，使用前请先装入 7 号电池。1 取下电池盖。<PIC> 2 装入新电池，确保电池正、负极安装正确。<PIC> 3 重新装上电池盖。 注 若遥控器显示屏开始变暗，请更换电池。, [""Manual01_2"", ""Manual01_3""]"
73,"安装空调遥控器支架时，应将支架固定在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。<PIC> 3 将遥控器滑入支架中。<PIC>, [""Manual01_4"", ""Manual01_5""]"
74,"用空调快速调节室内温度时，可使用极速制冷/制热模式；该模式可在夏季快速冷却室内空气，或在冬季快速提升室内温度。 1 按下开 / 关键开启电源。 2 按下极速键。<PIC> - 极速制冷模式下，空调将以 18 摄氏度的温度强风出风 30 分钟。 - 极速制热模式下，空调将以 30 摄氏度的温度强风出风 30 分钟。, [""Manual01_16""]"
75,"使用空调自清洁运行功能时，制冷和除湿运行产生的水汽可通过该功能去除。 1 按下自清洁键，显示屏上会显示自清洁标识。<PIC> - 若关闭电源，风扇将继续运行 30 分钟，对室内机内部进行清洁。 注 自清洁功能运行时，部分按键无法使用。, [""Manual01_17""]"
76,"使用空调等离子净化功能时，按下开/关键开启电源后，再按“等离子”键，显示屏会显示等离子标识，表示等离子净化运行已开启。部分机型也可以无需先开启空调，直接按等离子键使用；运行时等离子灯和制冷灯会同时亮起。注意：部分机型不支持该功能，请以您机器实际配置为准。<PIC>, [""Manual01_18""]"
77,"单冷型空调开启自动运行模式时，请先按开/关键开启电源，再反复按模式键选择“自动运行（人工智能模式）”。该模式下，风扇转速和温度会根据室内温度自动调节；如果当前温度高于或低于您希望的状态，可按上升/下降键选择对应的运行代码。需要注意的是，此模式下不能手动调节风扇转速，但可以设置导风板自动摆风，且部分机型可能不支持该功能。<PIC>, [""Manual01_19""]"
78,"使用空调自动转换运行功能时，该模式会自动切换运行模式，并将设定温度的波动控制在 2 摄氏度以内。 1 按下开 / 关键开启电源。 2 反复按下模式键，选择自动转换运行模式，显示屏上会显示对应标识。<PIC> 3 按下上升 / 下降键设置所需温度，温度调节范围为 18 摄氏度（64 华氏度）-30 摄氏度（86 华氏度）。 4 反复按下风速键选择风扇转速。, [""Manual01_20""]"
79,"开启节能制冷模式时，该模式可最大限度降低制冷耗电量，并将设定温度调节至较舒适水平。 1 按下开 / 关键开启电源。 2 反复按下模式键，选择制冷模式。 3 按下节能键，显示屏上会显示节能标识。<PIC>, [""Manual01_21""]"
80,"无遥控器时，可通过室内机的开/关键操作空调；此时风扇转速默认设为高速。 1 打开前盖板，轻轻掀起盖板两侧即可。<PIC> * 功能会根据机型有所调整。 2 按下开 / 关键。<PIC> * 功能会根据机型有所调整。 - 冷暖型机型的运行模式会根据室内温度自动切换。<PIC> - 单冷型机型的温度将默认设为 22 摄氏度（71.6 华氏度）。, [""Manual01_22"", ""Manual01_23"", ""Manual01_24""]"
81,"空调自动重启 停电后再次开启空调时，该功能可恢复之前的运行设置，此功能为工厂默认设置。 关闭自动重启功能 1 打开前盖板，轻轻掀起盖板两侧即可。<PIC> * 功能会根据机型有所调整。 2 按住开 / 关键 6 秒钟，设备会发出两声蜂鸣，指示灯闪烁 6 次。<PIC> * 功能会根据机型有所调整。 - 如需重新开启该功能，再次按住开 / 关键 6 秒钟即可，设备会发出两声蜂鸣，蓝色指示灯闪烁 4 次。, [""Manual01_25"", ""Manual01_26""]"
82,"不同型号空调的清洁频率应以维护保养表为准。一般情况下，空气滤网建议每两周清洁一次，必要时可增加清洁频率；3M多重防护滤网、等离子滤网等部件是否配备、清洁周期和清洁方式会因机型不同而不同。清洁前请关闭电源并拔下电源线，3M多重防护滤网切勿用水清洗，等离子滤网污垢较难清理时可用温水冲洗并阴干。<PIC>, [""Manual01_28""]"
83,"清洁空调空气滤网时，建议每两周清洁一次，必要时可增加清洁频率。 1 关闭电源并拔下电源线。 2 打开前盖板，轻轻掀起盖板两侧即可。<PIC> * 功能会根据机型有所调整。 3 握住空气滤网的把手，轻轻向上提起，将其从机身中取出。<PIC> * 功能会根据机型有所调整。 4 用吸尘器清理滤网，或用温水冲洗，若滤网污垢较难清理，可在温水中加入洗涤剂清洗。 5 将滤网置于阴凉处晾干。, [""Manual01_29"", ""Manual01_30""]"
84,"清洁空调 3M 多重防护滤网时， 1 关闭电源并拔下电源线。 2 打开前盖板，取出空气滤网（详见 “清洁空气滤网”）。 3 抽出 3M 多重防护滤网。<PIC> * 功能会根据机型有所调整。 4 用吸尘器清理滤网污垢，切勿用水清洗 3M 多重防护滤网，以免造成滤网损坏。 注 滤网的位置和形状可能因机型不同而有所差异。, [""Manual01_31""]"
85,"清洁空调等离子滤网时， 1 关闭电源并拔下电源线。 2 打开前盖板，取出空气滤网（详见 “清洁空气滤网”）。 3 在 10 秒内取下等离子滤网。<PIC> * 功能会根据机型有所调整。 4 用吸尘器清理滤网污垢，若污垢较难清理，可用温水冲洗。 5 将滤网置于阴凉处晾干。 注 ・滤网的位置可能因机型不同而有所差异。 ・部分机型可能未配备等离子滤网。, [""Manual01_32""]"
86,"快速组装蒸汽清洁机无需专用工具： 1. 将主机身固定扣（部件 15）从主机身（部件 7）背部取下。 2. 将主机身底部滑入旋转拖头（部件 18）颈部。<PIC> 图中主机身与旋转拖头背部的孔位已用白色标注以便识别。 3. 确保旋转拖头颈部背部的孔位与主机身孔位对齐。 4. 将主机身固定扣（部件 15）插入主机身背部孔位，将两部分锁紧。<PIC> 5. 按图示将手柄杆（部件 4）插入主机身（部件 7），直至听到咔嗒声到位。<PIC>, [""Manual05_3"", ""Manual05_4"", ""Manual05_5""]"
87,"蒸汽清洁机的实用功能包括：水箱位于手持蒸汽器顶部，可用蒸馏水或去离子水替代自来水；水过滤器可过滤矿物质和杂质；就绪指示灯亮起表示可使用；按下蒸汽开关或手持蒸汽器开关即可出蒸汽；旋转拖头便于清洁狭小空间和橱柜下方；吸水纤维拖布可吸附蒸汽松动的污垢并可机洗；喷嘴、圆刷、玻璃清洁组件等配件可用于不同清洁场景。<PIC> 快速上手时，先确认主机、拖头和手柄已装好；按下拖布释放扣并装入拖布。<PIC> 用量杯加水，或按水箱解锁扣取下水箱加水；不要加入除垢剂、芳香剂、酒精或洗涤剂。<PIC> 完全展开电源线并插入120V接地插座，待就绪指示灯亮起后按开关出蒸汽。<PIC>, [""Manual05_1"", ""Manual05_2"", ""Manual05_6"", ""Manual05_7""]"
88,清洁硬质地面前请先扫地或吸尘。本机适用于瓷砖、乙烯基地板、复合地板、大理石、石材及封边木地板；不要用于未封边木地板，打蜡或部分未打蜡地面可能会降低光泽，建议先在不显眼处测试。使用时缓慢移动清洁机并按下蒸汽开关；如需消毒，可在目标区域停留至少15秒但不要超过20秒。若不出蒸汽，请拔下电源、取下水箱加水后再继续。首次使用时出蒸汽可能会延迟数秒，属于正常现象。
89,"人体工学椅组装主要涉及配件包内的椅脚/底座、脚轮、气杆、底座盖、底盘、坐垫、椅背连接件、扶手、头枕、腰枕、脚踏及对应螺丝等部件。安装前建议先核对配件明细，再按图示依次安装脚轮、气杆、底盘、脚踏、椅背连接件、扶手、头枕和腰枕，最后确认各处螺丝已拧紧。<PIC>, [""Manual02_0""]"
90,"扶手使用一段时间后松动，通常是因为扶手和椅背的螺丝在日常使用过程中自然松动。按手册说明，重新拧紧扶手和椅背相关螺丝即可解决。<PIC>, [""Manual02_8""]"
91,"高度调节<PIC> 向上拉起 “升降” 拉杆即可调节椅子高度，到达所需高度后松开 “升降” 拉杆。调节高度时请将身体微微抬离座椅。<PIC> 椅背后仰功能<PIC> 向上拉起 “后仰” 拉杆，椅背角度可随人体动作独立倾斜。向下按下 “后仰” 拉杆，椅背角度即可锁定。将椅背复位至正常位置时请靠在椅背上，否则椅背可能会快速回弹。<PIC> 按摩功能 插入 USB 即可启用腰枕的按摩功能。<PIC>, [""Manual02_11"", ""Manual02_12"", ""Manual02_13"", ""Manual02_14"", ""Manual02_15""]"
92,"洗碗机部件包括： 1. 台式（视型号而定）2. 上层喷淋臂 3. 下层碗篮 4. 下层喷淋臂 5. 过滤器 6. 控制面板 7. 机门 8. 洗涤剂盒 9. 下层喷淋臂槽 10. 餐具篮 11. 专用盐箱盖 12. 上层篮导轨 13. 带支架的上层碗篮 14. 风扇烘干系统（视型号而定）<PIC>, [""Dish_washer_08""]"
93,"首次使用时，将洗碗机连接到排水口时，排水管可直接连接到排水孔或水槽排水口。 连接点距地面高度最小 50 厘米，最大 100 厘米。<PIC> 排水管长度超过 4 米会导致洗涤不干净。 将排水管平直连接到排水管，不得弯折。 牢固固定排水管，防止工作时脱落。 排水管必须连接到污水系统，不得连接到地表水。, [""Manual06_2""]"
94,"使用前为洗碗机添加专用盐时，软水系统需要再生以保持产品性能稳定，因此需使用洗碗机专用盐。 产品中只能使用洗碗机专用软化盐。 建议使用颗粒或粉末状软化盐。 请勿使用食盐等含不溶物的盐，否则软水系统性能会逐渐下降。 启动产品时盐箱会进水，因此请在启动机器前添加软化盐。 1. 先取出下层碗篮以便添加软化盐。 2. 逆时针旋转盐箱盖打开（A、B）。<PIC> 首次使用前，向软水系统注入 1 升水（C）。<PIC> 使用盐斗向盐箱加盐（D）。 为加速盐的溶解，可用勺子搅拌。<PIC> 盐箱约可装入 2 公斤软化盐。 4. 盐箱加满后盖上盖子并拧紧。 5. 若加盐后不立即启动洗涤程序，请空载运行最短程序，溶解并冲散机器内散落的盐。 由于市场上不同盐品牌的颗粒大小不同，且水硬度可能存在差异，盐在水中的溶解可能需要数小时。因此，加盐后盐量指示灯可能仍会亮一段时间。, [""Dish_washer_01"", ""Dish_washer_02"", ""Dish_washer_03""]"
95,"为洗碗机添加洗涤剂时，请参考程序表，根据所选程序确定正确的洗涤剂用量。 请勿向洗涤剂盒中加入溶剂，有爆炸危险！ 请按照下图所示，在即将运行机器前将洗涤剂加入洗涤剂盒。1. 向右推动卡扣打开洗涤剂盒盖（A）。<PIC> 2. 向洗涤剂盒中加入建议量的粉末或块状洗涤剂。 洗涤剂盒内有刻度标记，帮助您使用适量的洗涤剂。 洗涤剂盒装满容量为 40cm³。 根据机器装载量和 / 或餐具脏污程度，将洗涤剂加至 15cm³ 或 25cm³ 刻度线（1）。<PIC> 若餐具放置时间较长且残渣已干涸，可同时加满 5cm³ 小格（5）。 3. 轻轻按下关闭洗涤剂盒盖，听到咔嗒声表示已关紧。 在带预洗的高温程序中使用块状洗涤剂时，请确保洗涤剂盒盖紧闭。 无预洗的短程序建议使用粉末洗涤剂，因为块状洗涤剂的溶解度随温度和时间变化。 过量使用粉末洗涤剂会导致洗涤剂无法完全溶解，并在玻璃器皿上留下划痕。, [""Manual06_4"", ""Manual06_5""]"
96,"添加洗涤块时，先确保洗涤剂盒干燥，并在即将启动程序前加入。向右推动卡扣打开洗涤剂盒盖。<PIC> 按洗涤块包装说明，将洗涤块放入洗涤剂盒或指定位置，然后轻轻按下盒盖，听到“咔嗒”声后确认关紧。<PIC> 若机器带“洗涤块”功能，可在选择程序后按半载/洗涤块键启用，以改善多效洗涤块的烘干效果；无预洗短程序不推荐使用洗涤块，可改用粉末洗涤剂。, [""Manual06_4"", ""Manual06_6""]"
97,"在洗碗机中添加和使用亮碟剂时，应使用洗碗机专用亮碟剂；它可提高烘干效率，防止洗涤后的餐具上留下水渍或水垢。因此，务必确保亮碟剂盒中有亮碟剂，且仅使用洗碗机专用亮碟剂。 查看亮碟剂指示灯，判断是否需要添加亮碟剂（3）。指示灯常亮表示亮碟剂盒内充足，若指示灯熄灭则需添加。 1. 按下卡扣打开亮碟剂盒盖（B）。<PIC> 2. 向盒内加注至 MAX 刻度线。3. 轻轻按下关闭盒盖。 擦净溢出的亮碟剂。 意外溢出的亮碟剂会产生泡沫，最终降低洗涤效果。 4. 将亮碟剂剂量调节旋钮手动调至 1-6 之间的位置（4）。 若洗涤后餐具上有污渍，需调高剂量；若手擦后有蓝色痕迹，则调低剂量。出厂默认设置为 4。<PIC>, [""Manual06_7"", ""Manual06_8""]"
98,不适合在洗碗机中清洗的物品・切勿在洗碗机中清洗沾有烟灰、蜡烛残渣、抛光剂、染料、化学品等的餐具。・请勿清洗铁制器具，以免生锈或在其他物品上留下污渍。・请勿清洗带有木质或骨质手柄、黏合部件、不耐热部件的银质餐具、刀具，以及铜和镀锡容器。 瓷器的装饰花纹以及铝制和银质器具在洗碗机中清洗后可能会褪色或失去光泽，就像手洗一样。 某些精致玻璃和水晶可能会逐渐失去光泽。强烈建议您在购买餐具时确认是否适合洗碗机清洗。
99,"餐具篮为视型号而定的部件，用于更干净地清洗叉、勺等小件餐具。若您的型号配有餐具篮，可按图示将餐具篮放在对应位置后使用；尖锐刀叉应尖头朝下或水平放置，避免取放时受伤。<PIC>, [""Manual06_12""]"
100,"使用洗碗机前安装可折叠下层篮架时，可操作下层碗篮上的两根可折叠架丝（视型号而定），以便更方便地放置锅、碗等大件物品。 您可单独或同时折叠每根架丝以创造更大空间。按下卡扣（A）放下折叠架丝。<PIC>, [""Manual06_13""]"
101,"该功能视型号而定。满载时可调节的是上层碗篮高度，无需先取出餐具。升高时，抓住上层篮一侧架丝向上提起，另一侧重复相同操作；降低时，按下碗篮调节机构上的卡扣使碗篮下降，另一侧重复相同操作。调节后必须确认左右两侧处于同一水平。<PIC> 下层碗篮本身不做高度调节；如需在下层放置锅、碗等大件物品，可通过放下可折叠下层篮架丝来创造空间。<PIC>, [""Manual06_14"", ""Manual06_15""]"
102,"清洁洗碗机进水管滤网时，需先了解该滤网用于防止市政供水或自备水系统中的杂质（沙、污垢、铁锈等）损坏机器。 定期检查滤网和水管，必要时清洁。 1. 关闭水龙头并拆下水管。2. 取出滤网后在自来水下清洁。3. 将清洁后的滤网装回水管原位。 4. 将水管装回水龙头。<PIC>, [""Manual06_23""]"
103,"清洁洗碗机上层喷淋臂时，先检查上层喷淋臂（2）上的孔是否堵塞。 若堵塞，拆下并清洁喷淋臂。 向左旋转螺母拆下上层喷淋臂（C、D）。 安装上层喷淋臂时确保螺母拧紧。<PIC>, [""Manual06_24""]"
