id,question,category,source_manual,knowledge_point,novelty_reason,max_similarity_to_existing,risk_note,closest_existing_question
2014,商品寄修期间影响正常使用，你们能不能提供备用机或临时替代方案？,service_policy,客服题,维修期间备用机,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.292,OK,"""请问你们的商品能提供试用装吗？"""
2015,售后检测说是人为损坏需要付费维修，但我认为不是人为造成的，能申请复检吗？,service_policy,客服题,维修报价争议,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.279,OK,"""我想咨询一下，你们的售后维修服务范围是什么？"",
""如果是人为损坏的，能维修吗？维修费用怎么算？"""
2016,同一故障已经维修两次又复发，可以申请直接换新或退货吗？,service_policy,客服题,二次维修换新,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.333,OK,商品生产日期比较早，会不会影响保质期？可以申请换新吗？
2017,上门安装完成后发现尺寸和家里位置不匹配，商品还能退换吗？安装费怎么处理？,service_policy,客服题,安装后发现尺寸不合适,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.377,OK,"""我想给商品更换成更大的尺寸，能换吗？"",
""尺寸差价怎么处理？"""
2018,购买时勾选了旧机回收，但新机已经送到，回收人员一直没上门怎么办？,service_policy,客服题,旧机回收延迟,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.321,OK,"""我购买的商品，快递送达时，我不在家，怎么办？"""
2019,快递显示到不了我填写的地址，需要转运到镇上的网点，这种情况能改派其他快递吗？,service_policy,客服题,物流超区转运,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.306,OK,"""快递丢失了，怎么办？""，
""这种情况你们会怎么赔偿？多久能解决？"""
2020,购买凭证找不到了，但是订单记录还在，商品还能享受质保吗？,service_policy,客服题,保修凭证缺失,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.34,OK,商品过了7天但还在保修期内，出现故障还能走售后吗？
2021,我把商品寄回售后维修，售后收到后说运输途中又损坏了，这个责任怎么处理？,service_policy,客服题,售后件运输损坏,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.339,OK,售后寄回检测后说没有故障，来回运费一般怎么处理？
2022,我收到的快递面单是我的，但里面商品明显不是我买的，应该先退回还是等你们补发？,service_policy,客服题,错收他人包裹,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.476,OK,收到的型号和我下单的不一致，应该选择退货还是补发？
2023,退款原路退回的银行卡已经注销了，退款会失败吗？需要我提供新的收款账户吗？,service_policy,客服题,退款银行卡注销,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.367,OK,退款会原路退回吗？银行卡和信用卡到账时间一样吗？
2024,订单退款后，使用的优惠券和积分会自动退回吗？如果已经过期怎么办？,service_policy,客服题,积分/优惠恢复,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.286,OK,退款会原路退回吗？银行卡和信用卡到账时间一样吗？
2025,订单已经完成很久了，现在还能补开发票吗？超过开票期限怎么办？,service_policy,客服题,补开发票时限,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.367,OK,发票抬头写错了，还能重新开电子发票吗？
2026,快递长时间停滞，我不想等了，可以直接取消并退款吗？如果包裹后来送到怎么办？,service_policy,客服题,运输延误取消,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.361,OK,"""我购买的商品，快递送达时，我不在家，怎么办？"""
2027,一个订单里既有少发，又有部分商品破损，需要分开申请售后还是提交一个工单？,service_policy,客服题,少发与破损同时存在,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.361,OK,同一个订单里有两件商品，只退其中一件会影响发票吗？
2028,上门安装时缺少必要配件，我能自己购买配件后让安装师傅安装吗？会影响保修吗？,service_policy,客服题,安装配件自购,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.4,OK,大件商品需要上门安装，可以帮我预约安装师傅吗？
2029,换货后的商品质保期是从原订单日期开始算，还是从换货签收日期重新计算？,service_policy,客服题,换货后质保计算,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.519,OK,保修期是从下单时间算，还是从签收时间算？
2030,普通客服多次没有解决问题，我可以申请主管或专员介入吗？处理时效一般怎么安排？,service_policy,客服题,客服升级投诉,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.271,OK,我想投诉售后处理太慢，平台一般会怎么跟进？
2031,VR头显为什么不建议12岁以下儿童使用？使用前家长需要注意什么？,cn_manual,VR头显手册,12岁以下儿童限制,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.327,OK,"""使用发电机的直流保护器时，我需要注意什么？"""
2032,佩戴VR头显前，为什么要清理大于游玩区域的活动空间？需要移开哪些障碍物？,cn_manual,VR头显手册,游玩区域障碍物清理,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.215,OK,"""为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？"""
2033,使用VR头显时出现头晕、视觉异常或恶心时，应该怎样处理？什么时候才能继续使用？,cn_manual,VR头显手册,不适症状处理,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.282,OK,"""使用和操作VR头显时应采取哪些安全预防措施，以确保用户安全和设备使用寿命？"""
2034,初次使用VR头显时应该怎样安排使用时长和休息时间？,cn_manual,VR头显手册,休息频率,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.409,OK,首次使用洗碗机前，应该怎样添加专用盐？
2035,人体工学椅的座椅高度应该怎样调节？调节时身体需要怎么配合？,cn_manual,人体工学椅手册,椅子高度调节,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.281,OK,人体工学椅扶手用久后有点松动，手册里是怎么解释和处理的？
2036,人体工学椅的椅背后仰功能如何开启和锁定？复位时为什么要靠住椅背？,cn_manual,人体工学椅手册,椅背后仰锁定,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.264,OK,"""椅子的扶手使用一段时间后为什么会松动？"""
2037,人体工学椅的腰枕按摩功能怎样启用？使用时需要连接什么接口？,cn_manual,人体工学椅手册,腰枕按摩功能,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.32,OK,"""椅子的扶手使用一段时间后为什么会松动？"""
2038,组装人体工学椅前为什么建议保留原包装箱？,cn_manual,人体工学椅手册,退换包装保留,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.455,OK,组装这把人体工学椅时，包装里应有哪些主要零部件？
2039,装配健身单车前，场地需要满足哪些空间和平整度要求？,cn_manual,健身单车手册,装配区域要求,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.429,OK,"""启动健身单车前，我需要做什么？"""
2040,健身单车含有磁铁时，佩戴起搏器等医疗设备的人使用前需要注意什么？,cn_manual,健身单车手册,磁铁医疗设备风险,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.408,OK,"""启动健身单车前，我需要做什么？"""
2041,健身单车为什么必须按给定顺序装配，并在完全装配检查前不能使用？,cn_manual,健身单车手册,装配顺序风险,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.292,OK,"""启动健身单车前，我需要做什么？"""
2042,健身单车维修或更换零件时为什么应优先使用原厂替换零件？,cn_manual,健身单车手册,原厂配件要求,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.318,OK,"""启动健身单车前，我需要做什么？"""
2043,第一次设置健身追踪器时，需要在手机应用中完成哪些基本操作？,cn_manual,健身追踪器手册,手机应用设置,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.449,OK,健身追踪器开箱时，包装中应包含哪些物品？
2044,健身追踪器高级版主要提供哪些个性化资源？如何兑换试用订阅？,cn_manual,健身追踪器手册,高级版订阅,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.345,OK,"""使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？"""
2045,在健身追踪器应用中可以查看哪些健康、活动或睡眠数据？,cn_manual,健身追踪器手册,应用中查看数据,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.391,OK,健身追踪器开箱时，包装中应包含哪些物品？
2046,为什么健身追踪器的数据不能作为医疗或科学诊断依据？,cn_manual,健身追踪器手册,手表非医疗用途,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.348,OK,"""健身追踪器能对手机的通知实现哪些功能？"""
2047,儿童电动摩托车首次使用前电池要充多久？为什么不能连续充电超过20小时？,cn_manual,儿童电动摩托车手册,首次充电时长,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.346,OK,"""如何安装儿童电动摩托车的前轮？"""
2048,儿童电动摩托车的适用年龄、最大载重、电池和保险丝规格是什么？,cn_manual,儿童电动摩托车手册,适用年龄载重,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.383,OK,"""如何安装儿童电动摩托车的前轮？"""
2049,儿童电动摩托车为什么必须由成人组装？组装时儿童应如何远离风险？,cn_manual,儿童电动摩托车手册,成人组装要求,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.333,OK,"""如何安装儿童电动摩托车的前轮？"""
2050,组装儿童电动摩托车前为什么要确认零件齐全并保留包装？,cn_manual,儿童电动摩托车手册,组装前零件确认,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.465,OK,"""如何安装儿童电动摩托车的前轮？"""
2051,冰箱手册中的危险、警告、注意分别代表什么严重程度？,cn_manual,冰箱手册,安全警示词含义,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.298,OK,功能键盘初次使用时，手册中的设置步骤是什么？
2052,冰箱为什么应使用专用插座，不能与多个设备共用一个插座？,cn_manual,冰箱手册,专用插座,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.245,OK,使用吹风机作业时，需要穿戴哪些个人防护装备？
2053,安装或移动冰箱时，为什么要防止电源线被挤压、弯折或压在冰箱背后？,cn_manual,冰箱手册,电源线挤压风险,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.222,OK,清洗水泵油箱滤网时，应按什么顺序拆洗和装回？
2054,冰箱为什么必须可靠接地？如果不理解接地说明应该怎么做？,cn_manual,冰箱手册,接地要求,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.264,OK,可以给我补发一份纸质说明书吗？如果没有纸质版怎么办？
2055,功能键盘包装内通常包含哪些主要物品和拆装工具？,cn_manual,功能键盘手册,包装内容,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.423,OK,"""功能键盘的保修政策通常包含哪些内容，又不包含哪些内容？"""
2056,功能键盘上的音量滚轮、扬声器静音键、Win锁定键和亮度键分别有什么用途？,cn_manual,功能键盘手册,音量滚轮与静音键,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.276,OK,功能键盘初次使用时，手册中的设置步骤是什么？
2057,功能键盘如何通过FN组合键切换不同配置文件？,cn_manual,功能键盘手册,配置文件快捷键,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.341,OK,"""如何将功能键盘搭配CAM软件使用？"""
2058,功能键盘上的数字锁定、大小写锁定和滚动锁定指示灯分别对应什么状态？,cn_manual,功能键盘手册,指示灯含义,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.291,OK,功能键盘初次使用时，手册中的设置步骤是什么？
2059,发电机民用、商业或租赁用途的保修期限有什么区别？,cn_manual,发电机手册,保修期限,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.34,OK,"""使用发电机的直流保护器时，我需要注意什么？"""
2060,发电机哪些情况不属于一般保修范围？,cn_manual,发电机手册,保修除外责任,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.293,OK,发电机使用燃油时有哪些易燃和有毒方面的安全提醒？
2061,为什么发电机手册应视为发动机永久组成部分并在转售时随机器移交？,cn_manual,发电机手册,手册随机器转售,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.281,OK,"""为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？"""
2062,发电机手册中安全警示符号、警告、注意和注释分别提醒用户什么？,cn_manual,发电机手册,警示标识含义,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.302,OK,"""使用发电机的直流保护器时，我需要注意什么？"""
2063,拆卸旧温控器前，如何确认供暖或制冷系统的电源已经关闭？,cn_manual,可编程温控器手册,关闭电源确认,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.31,OK,"""如何调整温控器的系统和风扇运行设置，以优化供暖和制冷效果？"""
2064,旧温控器如果有粗黑线或120/240伏电压，为什么不能继续安装这款温控器？,cn_manual,可编程温控器手册,线电压系统排除,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.235,OK,"""如何调整温控器的程序日程，以实现高效的能源利用和温度控制？"""
2065,拆旧温控器前为什么要拍摄当前接线照片？电线颜色相同时应该怎么处理？,cn_manual,可编程温控器手册,拍照记录接线,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.357,OK,可编程温控器要设置日期和时间时，应该怎么操作？
2066,安装新温控器前为什么要拆除旧温控器上的跨接线？计数端子时应不应包含跨接线？,cn_manual,可编程温控器手册,跨接线处理,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.196,OK,"""如何安装空调遥控器支架？"""
2067,吹风机上的警示标识如果破损或磨损，应该如何处理？,cn_manual,吹风机手册,警示标识维护,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.41,OK,"""吹风机冷机时，该如何启动？"""
2068,吹风机主要用于什么场景？操作时为什么要求双脚稳固站立在地面上？,cn_manual,吹风机手册,用途限制,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.231,OK,"""椅子的扶手使用一段时间后为什么会松动？"""
2069,给吹风机处理燃油时，为什么要远离明火并避免皮肤或衣物接触燃油？,cn_manual,吹风机手册,燃油处理安全,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.292,OK,"""使用吹风机时，如何调节化油器？"""
2070,吹风机说明书为什么强调故障排查和全面检修人员也必须理解安全章节？,cn_manual,吹风机手册,维护人员适用范围,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.296,OK,"""操作吹风机时，人员需要注意哪些安全要点？"""
2071,驾驶摩托艇前为什么要持续观察周围水域、船只和障碍物？,cn_manual,摩托艇手册,航行前观察,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.254,OK,"""在驾驶摩托艇进行中低速转弯时，如何控制油门并保持行驶的稳定性和操控性？"""
2072,摩托艇载人时，乘员为什么要保持低重心并按要求抓握扶手？,cn_manual,摩托艇手册,乘员重心,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.269,OK,在深水中重新登上摩托艇并保持平衡，手册建议怎样做？
2073,摩托艇在狭窄水道、靠近码头或其他船只时为什么要降低速度？,cn_manual,摩托艇手册,水域规则,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.222,OK,"""驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？"""
2074,驾驶摩托艇时为什么要正确佩戴紧急停机绳或安全绳？,cn_manual,摩托艇手册,紧急停机绳,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.305,OK,"""驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？"""
2075,为什么水泵发动机不能在封闭区域运行？应在什么环境下操作？,cn_manual,水泵手册,废气中毒风险,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.333,OK,"""水泵发动机安全停机的正确步骤是什么？"""
2076,水泵运行后发动机和消音器发烫时，机器摆放要注意什么？,cn_manual,水泵手册,热消音器安全距离,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.449,OK,"""使用发电机的直流保护器时，我需要注意什么？"""
2077,操作或运输水泵时为什么要保持机器直立？倾斜可能造成什么问题？,cn_manual,水泵手册,加油姿态,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.231,OK,清洗水泵油箱滤网时，应按什么顺序拆洗和装回？
2078,水泵燃油不慎溅到皮肤、衣物或眼睛时应如何处理？,cn_manual,水泵手册,燃油接触应急,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.267,OK,清洗水泵油箱滤网时，应按什么顺序拆洗和装回？
2079,洗碗机为什么要求用户保留并随产品转赠用户手册？,cn_manual,洗碗机手册,用户手册保管,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.273,OK,洗碗机洗涤剂应该加在哪里，添加步骤是什么？
2080,使用洗碗机前的预洗和装载环节，哪些做法有助于节能并获得更好洗涤效果？,cn_manual,洗碗机手册,节能提示,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.419,OK,"""如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？"""
2081,洗碗机的盐量指示灯和亮碟剂指示灯分别提醒用户什么？,cn_manual,洗碗机手册,盐量和亮碟剂指示灯,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.348,OK,"""空气净化器的室内空气质量指示灯是什么？"""
2082,洗碗机运行中如果需要取消或更改程序，应关注哪些控制面板操作？,cn_manual,洗碗机手册,取消或更改程序,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.408,OK,如果要拆下烤箱门，应该按哪些步骤操作？
2083,烤箱手册中的危险警示符号和警告术语用于提醒哪些风险？,cn_manual,烤箱手册,安全警示符号,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.327,OK,给冰箱连接电源时，手册提醒要注意哪些安全事项？
2084,为什么进行烤箱安装或维护前必须先断开设备电源？,cn_manual,烤箱手册,安装前断电,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.256,OK,"""如何为蓝牙激光鼠标安装电池？"""
2085,烹饪结束后打开烤箱门时，为什么要先缓慢排出热空气或蒸汽？,cn_manual,烤箱手册,打开烤箱门排热,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.264,OK,发电机需要打开燃油开关供油时，具体操作步骤是什么？
2086,为什么不能在烤箱内加热密封罐或密封容器？,cn_manual,烤箱手册,禁止密封容器加热,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.229,OK,"""如何使用烤箱的油脂过滤器？"""
2087,使用电钻前，工作区域应如何保持整洁、照明和人员隔离？,cn_manual,电钻手册,工作区域安全,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.356,OK,"""使用电钻时，如何安装单套无键夹头？"""
2088,电钻接通电源或装入电池组前，如何防止意外启动？,cn_manual,电钻手册,防止意外启动,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.316,OK,"""吹风机冷机时，该如何启动？"""
2089,为什么户外操作电钻时要使用适合户外的延长线？,cn_manual,电钻手册,户外延长线,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.263,OK,"""烤箱的催化侧面板有什么作用？"""
2090,在潮湿环境中必须使用电钻时，为什么建议使用带漏电保护器的电源？,cn_manual,电钻手册,GFCI保护,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.316,OK,"""使用电钻的腰带挂钩和批头夹时，需要特别注意什么？"""
2091,混合即时相机第一次开机后，需要完成哪些初始设置？,cn_manual,相机手册,初始设置,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.44,OK,"""如何设置混合即时相机的手动打印模式（初始设置）？"""
2092,混合即时相机如何查看剩余电量？不同电量状态对使用有什么影响？,cn_manual,相机手册,剩余电量查看,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.375,OK,"""如何查看蓝牙激光鼠标的电量状态？"""
2093,混合即时相机上的选择按钮和指令拨盘通常用于哪些菜单或拍摄操作？,cn_manual,相机手册,选择按钮和指令拨盘,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.375,OK,"""如何使用混合即时相机拍摄照片？"""
2094,混合即时相机LCD显示屏会显示哪些拍摄或打印相关信息？,cn_manual,相机手册,LCD显示信息,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.409,OK,"""如何使用混合即时相机拍摄照片？"""
2095,空气净化器初始安装时为什么要与墙壁保持至少12英寸距离？,cn_manual,空气净化器手册,安装距离,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.34,OK,"""空气净化器需要长期存放时该怎么做？"""
2096,空气净化器为什么应避免安装在电视或电子设备3英尺以内？,cn_manual,空气净化器手册,电子设备距离,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.409,OK,"""如何清洁空气净化器的设备内外？"""
2097,空气净化器出现异响、焦糊味或冒烟时应立即采取什么措施？,cn_manual,空气净化器手册,异响焦味冒烟,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.348,OK,"""空气净化器需要长期存放时该怎么做？"""
2098,为什么空气净化器不应使用非厂家推荐的滤网？,cn_manual,空气净化器手册,滤网兼容性,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.5,OK,"""如何清洁空气净化器的滤网？"""
2099,使用空调时，哪些日常做法可以降低耗电并保持制冷或除湿效果？,cn_manual,空调手册,节能小贴士,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.276,OK,"""使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？"""
2100,为什么空调手册建议保存购物小票并记录型号、序列号和购买日期？,cn_manual,空调手册,购买信息存档,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.192,OK,空调遥控器没电了，按照手册应该怎样更换电池？
2101,How should the camera neck strap be threaded through the strap mount before first use?,en_manual,Camera manual,camera strap attachment,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.476,OK,How should I connect the base station for the landline phone?
2102,"What handling precautions help prevent damage to the camera body, LCD monitor, lens contacts, and CF card?",en_manual,Camera manual,camera handling precautions,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.439,OK,"""What safety precautions should be followed to ensure safe operation during this process?"""
2103,"How can I check the camera battery level after turning the power switch on, and what do the different battery indicators mean?",en_manual,Camera manual,battery level check,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.516,OK,How can I check the battery level on the landline phone?
2104,"What do the OFF and ON positions of the camera power switch do, and when should each position be used?",en_manual,Camera manual,power switch states,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.465,OK,What is the correct way to mount a lens on the camera before shooting?
